X,Y,GID,MHN,IDENTIFICA,RESOLUCION,DIRECCION,AUTORIA,FECHA,DECRETO
-56.162599,-34.9105224,66440827,B.I.D,Cupressus sempervivens var. stricta ' Ciprés piramidal ',Decreto Departamental Nº26728,Parra del Riego 989 y 987 (estudio de abogados),,,
-56.2011777,-34.8637972,66440828,B.I.D,Taxodium mucronatum,Decreto Departamental Nº26728,"Lucas Obes 1071,73,75,77 etc (complejo de viviendas)",,,
-56.2014138,-34.8636888,66440829,B.I.D,Erythrina crista-galli 'Ceibo',Decreto Departamental Nº26728,"Lucas Obes 1071,73,75,77 etc (complejo de viviendas)",,,
-56.2016194,-34.8636611,66440830,B.I.D,Ceiba speciosa (ex Chorisia),Decreto Departamental Nº26728,19 de abril 1070 (vivienda),,,
-56.2015805,-34.8642638,66440831,B.I.D,Phoenix canariensis (2 ejemplares),Decreto Departamental Nº26728,"Lucas Obes 1071,73,75,77 etc (complejo de viviendas)",,,
-56.2019,-34.8640777,66440832,B.I.D,Ligustrum lucidum var aureovariegatum (3 ejemplares),Decreto Departamental Nº26728,"Lucas Obes 1071,73,75,77 etc (complejo de viviendas)",,,
-56.186827,-34.8650175,66440833,B.I.D,Araucaria angustifolia 'Pino de Brasil' (2 ejemplares),Decreto Departamental Nº26728,Av. Burgues 3275,,,
-56.1867305,-34.8676333,66440834,B.I.D,Styphnolobium japonicum form. pendula 'Sopora pendula',Decreto Departamental Nº26728,Av. Burgues Nº 3169,,,
-56.2106666,-34.8619222,66440835,B.I.D,Araucaria angustifolia 'Pino Brasil',Decreto Departamental N°26728,Lucas Obes 819 (Semillero IMM),,,
-56.2103083,-34.8614444,66440836,B.I.D,Cupressus macrocarpa 'Ciprés lamberciana',Decreto Departamental N°26728,Lucas Obes 819 (Semillero IMM),,,
-56.1931976,-34.8479568,66440837,B.I.D,Araucaria cunninghamii,Decreto Departamental Nº26728,Rambla costanera Francisco Lavalleja 3594 esq. Pedro Trápani (Hotel Ajedrez),,,
-56.1931703,-34.8480267,66440838,B.I.D,Arecastrum romanzoffianum,Decreto Departamental Nº26728,Rambla costanera Francisco Lavalleja 3594 esq. Pedro Trápani (Hotel Ajedrez),,,
-56.1935694,-34.8479402,66440839,B.I.D,Phoenix canariensis,Decreto Departamental Nº26728,Rambla costanera Francisco Lavalleja 3594 esq. Pedro Trápani (Hotel Ajedrez),,,
-56.1935444,-34.8478916,66440840,B.I.D,Arecastrum romanzoffianum,Decreto Departamental Nº26728,Rambla costanera Francisco Lavalleja 3594 esq. Pedro Trápani (Hotel Ajedrez),,,
-56.2050944,-34.8696388,66440841,B.I.D,Melaleuca styphelioides,Decreto Departamental Nº26728,Av. Agraciada 3397 (ex- embajada Argentina ex-quinta de Adolfo Berro),,,
-56.2049069,-34.8695757,66440842,B.I.D,Ceiba speciosa (ex Chorisia),Decreto Departamental Nº26728,Av. Agraciada 3397 (ex- embajada Argentina ex-quinta de Adolfo Berro),,,
-56.2054777,-34.8694027,66440843,B.I.D,Podocarpus sp.,Decreto Departamental Nº26728,Av. Agraciada 3397 (ex- embajada Argentina ex-quinta de Adolfo Berro),,,
-56.2062777,-34.8706833,66440844,B.I.D,Eucalyptus sideroxylon,Decreto Departamental Nº26728,Av. Agraciada 3397 (ex- embajada Argentina ex-quinta de Adolfo Berro),,,
-56.2059824,-34.869722,66440845,B.I.D,Araucaria cunninghamii,Decreto Departamental Nº26728,Av. Agraciada 3397 (ex- embajada Argentina ex-quinta de Adolfo Berro),,,
-56.2060727,-34.8698629,66440846,B.I.D,Phoenix paludosa,Decreto Departamental Nº26728,Av. Agraciada 3397 (ex- embajada Argentina ex-quinta de Adolfo Berro),,,
